date,home,away,home_goals,away_goals
2025-03-18,Chicago Cubs,Los Angeles Dodgers,1,4
2025-03-19,Chicago Cubs,Los Angeles Dodgers,3,6
2025-03-27,New York Yankees,Milwaukee Brewers,4,2
2025-03-27,Toronto Blue Jays,Baltimore Orioles,2,12
2025-03-27,Texas Rangers,Boston Red Sox,2,5
2025-03-27,Washington Nationals,Philadelphia Phillies,3,7
2025-03-27,Kansas City Royals,Cleveland Guardians,4,7
2025-03-27,Houston Astros,New York Mets,3,1
2025-03-27,Cincinnati Reds,San Francisco Giants,4,6
2025-03-27,San Diego Padres,Atlanta Braves,7,4
2025-03-27,Chicago White Sox,Los Angeles Angels,8,1
2025-03-27,Miami Marlins,Pittsburgh Pirates,5,4
2025-03-27,St. Louis Cardinals,Minnesota Twins,5,3
2025-03-27,Los Angeles Dodgers,Detroit Tigers,5,4
2025-03-27,Arizona Diamondbacks,Chicago Cubs,6,10
2025-03-27,Seattle Mariners,Athletics,4,2
2025-03-28,Tampa Bay Rays,Colorado Rockies,3,2
2025-03-28,Toronto Blue Jays,Baltimore Orioles,8,2
2025-03-28,Miami Marlins,Pittsburgh Pirates,3,4
2025-03-28,Texas Rangers,Boston Red Sox,4,1
2025-03-28,Houston Astros,New York Mets,1,3
2025-03-28,Arizona Diamondbacks,Chicago Cubs,8,1
2025-03-28,Seattle Mariners,Athletics,0,7
2025-03-28,San Diego Padres,Atlanta Braves,4,3
2025-03-28,Los Angeles Dodgers,Detroit Tigers,8,5
2025-03-29,New York Yankees,Milwaukee Brewers,20,9
2025-03-29,Chicago White Sox,Los Angeles Angels,0,1
2025-03-29,St. Louis Cardinals,Minnesota Twins,5,1
2025-03-29,Toronto Blue Jays,Baltimore Orioles,5,9
2025-03-29,Washington Nationals,Philadelphia Phillies,6,11
2025-03-29,Kansas City Royals,Cleveland Guardians,4,3
2025-03-29,Cincinnati Reds,San Francisco Giants,3,2
2025-03-29,Tampa Bay Rays,Colorado Rockies,1,2
2025-03-29,Miami Marlins,Pittsburgh Pirates,5,4
2025-03-29,Texas Rangers,Boston Red Sox,4,3
2025-03-29,Houston Astros,New York Mets,2,1
2025-03-29,San Diego Padres,Atlanta Braves,1,0
2025-03-29,Arizona Diamondbacks,Chicago Cubs,3,4
2025-03-29,Los Angeles Dodgers,Detroit Tigers,7,3
2025-03-29,Seattle Mariners,Athletics,2,4
2025-03-30,Washington Nationals,Philadelphia Phillies,5,1
2025-03-30,New York Yankees,Milwaukee Brewers,12,3
2025-03-30,Toronto Blue Jays,Baltimore Orioles,3,1
2025-03-30,Cincinnati Reds,San Francisco Giants,3,6
2025-03-30,Tampa Bay Rays,Colorado Rockies,6,4
2025-03-30,Miami Marlins,Pittsburgh Pirates,3,2
2025-03-30,Kansas City Royals,Cleveland Guardians,2,6
2025-03-30,Chicago White Sox,Los Angeles Angels,2,3
2025-03-30,St. Louis Cardinals,Minnesota Twins,9,2
2025-03-30,Texas Rangers,Boston Red Sox,3,2
2025-03-30,Arizona Diamondbacks,Chicago Cubs,10,6
2025-03-30,Seattle Mariners,Athletics,2,1
2025-03-30,San Diego Padres,Atlanta Braves,5,0
2025-03-31,Chicago White Sox,Minnesota Twins,9,0
2025-03-31,Milwaukee Brewers,Kansas City Royals,1,11
2025-03-31,Baltimore Orioles,Boston Red Sox,8,5
2025-03-31,Philadelphia Phillies,Colorado Rockies,6,1
2025-03-31,Cincinnati Reds,Texas Rangers,14,3
2025-03-31,Miami Marlins,New York Mets,4,10
2025-03-31,Tampa Bay Rays,Pittsburgh Pirates,6,1
2025-03-31,Toronto Blue Jays,Washington Nationals,5,2
2025-03-31,St. Louis Cardinals,Los Angeles Angels,4,5
2025-03-31,Houston Astros,San Francisco Giants,2,7
2025-03-31,San Diego Padres,Cleveland Guardians,7,2
2025-03-31,Seattle Mariners,Detroit Tigers,6,9
2025-03-31,Athletics,Chicago Cubs,3,18
2025-03-31,Los Angeles Dodgers,Atlanta Braves,6,1
2025-04-01,Cincinnati Reds,Texas Rangers,0,1
2025-04-01,Miami Marlins,New York Mets,4,2
2025-04-01,Tampa Bay Rays,Pittsburgh Pirates,7,0
2025-04-01,New York Yankees,Arizona Diamondbacks,5,7
2025-04-01,Toronto Blue Jays,Washington Nationals,5,3
2025-04-01,Chicago White Sox,Minnesota Twins,3,8
2025-04-01,Milwaukee Brewers,Kansas City Royals,5,0
2025-04-01,St. Louis Cardinals,Los Angeles Angels,7,9
2025-04-01,Houston Astros,San Francisco Giants,1,3
2025-04-01,San Diego Padres,Cleveland Guardians,7,0
2025-04-01,Seattle Mariners,Detroit Tigers,1,4
2025-04-01,Athletics,Chicago Cubs,4,7
2025-04-01,Los Angeles Dodgers,Atlanta Braves,3,1
2025-04-02,Cincinnati Reds,Texas Rangers,0,1
2025-04-02,Tampa Bay Rays,Pittsburgh Pirates,2,4
2025-04-02,Milwaukee Brewers,Kansas City Royals,3,2
2025-04-02,St. Louis Cardinals,Los Angeles Angels,12,5
2025-04-02,Chicago White Sox,Minnesota Twins,1,6
2025-04-02,Toronto Blue Jays,Washington Nationals,4,2
2025-04-02,Athletics,Chicago Cubs,2,10
2025-04-02,San Diego Padres,Cleveland Guardians,5,2
2025-04-02,Seattle Mariners,Detroit Tigers,3,2
2025-04-02,Houston Astros,San Francisco Giants,3,6
2025-04-02,Miami Marlins,New York Mets,5,6
2025-04-02,Baltimore Orioles,Boston Red Sox,0,3
2025-04-02,Philadelphia Phillies,Colorado Rockies,5,1
2025-04-02,New York Yankees,Arizona Diamondbacks,3,4
2025-04-02,Los Angeles Dodgers,Atlanta Braves,6,5
2025-04-03,Baltimore Orioles,Boston Red Sox,4,8
2025-04-03,Philadelphia Phillies,Colorado Rockies,3,1
2025-04-03,Minnesota Twins,Houston Astros,2,5
2025-04-03,New York Yankees,Arizona Diamondbacks,9,7
2025-04-03,Milwaukee Brewers,Cincinnati Reds,1,0
2025-04-04,Detroit Tigers,Chicago White Sox,7,4
2025-04-04,Boston Red Sox,St. Louis Cardinals,13,9
2025-04-04,Chicago Cubs,San Diego Padres,3,1
2025-04-04,New York Mets,Toronto Blue Jays,5,0
2025-04-04,Colorado Rockies,Athletics,3,6
2025-04-04,Pittsburgh Pirates,New York Yankees,4,9
2025-04-04,San Francisco Giants,Seattle Mariners,10,9
2025-04-04,Washington Nationals,Arizona Diamondbacks,4,6
2025-04-04,Philadelphia Phillies,Los Angeles Dodgers,3,2
2025-04-04,Atlanta Braves,Miami Marlins,10,0
2025-04-04,Kansas City Royals,Baltimore Orioles,8,2
2025-04-04,Texas Rangers,Tampa Bay Rays,5,2
2025-04-04,Milwaukee Brewers,Cincinnati Reds,3,2
2025-04-04,Los Angeles Angels,Cleveland Guardians,6,8
2025-04-05,Detroit Tigers,Chicago White Sox,7,2
2025-04-05,Minnesota Twins,Houston Astros,6,1
2025-04-05,Chicago Cubs,San Diego Padres,7,1
2025-04-05,Washington Nationals,Arizona Diamondbacks,4,3
2025-04-05,Philadelphia Phillies,Los Angeles Dodgers,1,3
2025-04-05,Pittsburgh Pirates,New York Yankees,4,10
2025-04-05,Kansas City Royals,Baltimore Orioles,1,8
2025-04-05,Texas Rangers,Tampa Bay Rays,6,4
2025-04-05,New York Mets,Toronto Blue Jays,3,2
2025-04-05,Milwaukee Brewers,Cincinnati Reds,7,11
2025-04-05,Atlanta Braves,Miami Marlins,0,4
2025-04-05,Colorado Rockies,Athletics,4,7
2025-04-05,San Francisco Giants,Seattle Mariners,4,1
2025-04-05,Los Angeles Angels,Cleveland Guardians,10,4
2025-04-06,Washington Nationals,Arizona Diamondbacks,5,4
2025-04-06,Boston Red Sox,St. Louis Cardinals,5,4
2025-04-06,Boston Red Sox,St. Louis Cardinals,18,7
2025-04-06,Philadelphia Phillies,Los Angeles Dodgers,8,7
2025-04-06,Pittsburgh Pirates,New York Yankees,5,4
2025-04-06,New York Mets,Toronto Blue Jays,2,1
2025-04-06,Detroit Tigers,Chicago White Sox,4,3
2025-04-06,Kansas City Royals,Baltimore Orioles,4,1
2025-04-06,Minnesota Twins,Houston Astros,7,9
2025-04-06,Milwaukee Brewers,Cincinnati Reds,8,2
2025-04-06,Chicago Cubs,San Diego Padres,7,8
2025-04-06,Texas Rangers,Tampa Bay Rays,4,3
2025-04-06,Colorado Rockies,Athletics,12,5
2025-04-06,San Francisco Giants,Seattle Mariners,5,4
2025-04-06,Los Angeles Angels,Cleveland Guardians,6,2
2025-04-07,Detroit Tigers,New York Yankees,6,2
2025-04-07,Pittsburgh Pirates,St. Louis Cardinals,8,4
2025-04-07,Washington Nationals,Los Angeles Dodgers,6,4
2025-04-07,Boston Red Sox,Toronto Blue Jays,2,6
2025-04-07,New York Mets,Miami Marlins,2,0
2025-04-07,Chicago Cubs,Texas Rangers,7,0
2025-04-07,Kansas City Royals,Minnesota Twins,4,2
2025-04-07,Arizona Diamondbacks,Baltimore Orioles,1,5
2025-04-07,Seattle Mariners,Houston Astros,4,3
2025-04-07,San Francisco Giants,Cincinnati Reds,0,2
2025-04-07,Athletics,San Diego Padres,4,5
2025-04-08,Detroit Tigers,New York Yankees,5,0
2025-04-08,Cleveland Guardians,Chicago White Sox,1,0
2025-04-08,New York Mets,Miami Marlins,10,5
2025-04-08,Pittsburgh Pirates,St. Louis Cardinals,3,5
2025-04-08,Washington Nationals,Los Angeles Dodgers,8,2
2025-04-08,Boston Red Sox,Toronto Blue Jays,1,6
2025-04-08,Tampa Bay Rays,Los Angeles Angels,3,4
2025-04-08,Atlanta Braves,Philadelphia Phillies,7,5
2025-04-08,Chicago Cubs,Texas Rangers,10,6
2025-04-08,Kansas City Royals,Minnesota Twins,2,1
2025-04-08,Colorado Rockies,Milwaukee Brewers,1,7
2025-04-08,Arizona Diamondbacks,Baltimore Orioles,4,3
2025-04-08,Seattle Mariners,Houston Astros,1,2
2025-04-08,San Francisco Giants,Cincinnati Reds,0,1
2025-04-08,Athletics,San Diego Padres,10,4
2025-04-09,Pittsburgh Pirates,St. Louis Cardinals,2,1
2025-04-09,New York Mets,Miami Marlins,0,5
2025-04-09,Detroit Tigers,New York Yankees,3,4
2025-04-09,Chicago Cubs,Texas Rangers,2,6
2025-04-09,Athletics,San Diego Padres,1,2
2025-04-09,Arizona Diamondbacks,Baltimore Orioles,9,0
2025-04-09,San Francisco Giants,Cincinnati Reds,8,6
2025-04-09,Washington Nationals,Los Angeles Dodgers,5,6
2025-04-09,Seattle Mariners,Houston Astros,7,6
2025-04-09,Cleveland Guardians,Chicago White Sox,3,2
2025-04-09,Boston Red Sox,Toronto Blue Jays,1,2
2025-04-09,Tampa Bay Rays,Los Angeles Angels,5,4
2025-04-09,Atlanta Braves,Philadelphia Phillies,3,4
2025-04-09,Kansas City Royals,Minnesota Twins,0,4
2025-04-09,Colorado Rockies,Milwaukee Brewers,2,17
2025-04-10,Tampa Bay Rays,Los Angeles Angels,1,11
2025-04-10,Cleveland Guardians,Chicago White Sox,6,1
2025-04-10,Kansas City Royals,Minnesota Twins,3,2
2025-04-10,Colorado Rockies,Milwaukee Brewers,7,2
2025-04-10,Boston Red Sox,Toronto Blue Jays,4,3
2025-04-10,Atlanta Braves,Philadelphia Phillies,4,2
2025-04-11,Cleveland Guardians,Kansas City Royals,7,0
2025-04-11,Cincinnati Reds,Pittsburgh Pirates,5,3
2025-04-11,Tampa Bay Rays,Atlanta Braves,6,3
2025-04-11,New York Yankees,San Francisco Giants,1,9
2025-04-11,Miami Marlins,Washington Nationals,4,7
2025-04-11,Chicago White Sox,Boston Red Sox,11,1
2025-04-11,Houston Astros,Los Angeles Angels,14,3
2025-04-11,Minnesota Twins,Detroit Tigers,6,7
2025-04-11,St. Louis Cardinals,Philadelphia Phillies,2,0
2025-04-11,San Diego Padres,Colorado Rockies,8,0
2025-04-11,Seattle Mariners,Texas Rangers,5,3
2025-04-11,Arizona Diamondbacks,Milwaukee Brewers,0,7
2025-04-11,Athletics,New York Mets,6,7
2025-04-11,Los Angeles Dodgers,Chicago Cubs,3,0
2025-04-12,Minnesota Twins,Detroit Tigers,0,4
2025-04-12,St. Louis Cardinals,Philadelphia Phillies,1,4
2025-04-12,New York Yankees,San Francisco Giants,8,4
2025-04-12,Athletics,New York Mets,3,1
2025-04-12,Baltimore Orioles,Toronto Blue Jays,5,4
2025-04-12,Tampa Bay Rays,Atlanta Braves,4,5
2025-04-12,Chicago White Sox,Boston Red Sox,3,2
2025-04-12,Miami Marlins,Washington Nationals,7,6
2025-04-12,Cleveland Guardians,Kansas City Royals,6,3
2025-04-12,Cincinnati Reds,Pittsburgh Pirates,5,2
2025-04-12,Houston Astros,Los Angeles Angels,1,4
2025-04-12,Arizona Diamondbacks,Milwaukee Brewers,5,4
2025-04-12,San Diego Padres,Colorado Rockies,2,0
2025-04-12,Los Angeles Dodgers,Chicago Cubs,0,16
2025-04-12,Seattle Mariners,Texas Rangers,9,2
2025-04-13,Baltimore Orioles,Toronto Blue Jays,6,7
2025-04-13,New York Yankees,San Francisco Giants,4,5
2025-04-13,Cleveland Guardians,Kansas City Royals,2,4
2025-04-13,Cincinnati Reds,Pittsburgh Pirates,4,0
2025-04-13,Tampa Bay Rays,Atlanta Braves,8,3
2025-04-13,Miami Marlins,Washington Nationals,11,4
2025-04-13,Houston Astros,Los Angeles Angels,7,3
2025-04-13,Minnesota Twins,Detroit Tigers,5,1
2025-04-13,Chicago White Sox,Boston Red Sox,1,3
2025-04-13,St. Louis Cardinals,Philadelphia Phillies,7,0
2025-04-13,Athletics,New York Mets,0,8
2025-04-13,San Diego Padres,Colorado Rockies,6,0
2025-04-13,Seattle Mariners,Texas Rangers,3,1
2025-04-13,Arizona Diamondbacks,Milwaukee Brewers,5,2
2025-04-13,Los Angeles Dodgers,Chicago Cubs,2,4
2025-04-14,Pittsburgh Pirates,Washington Nationals,10,3
2025-04-14,Philadelphia Phillies,San Francisco Giants,4,10
2025-04-14,Tampa Bay Rays,Boston Red Sox,16,1
2025-04-14,New York Yankees,Kansas City Royals,4,1
2025-04-14,Toronto Blue Jays,Atlanta Braves,4,8
2025-04-14,Minnesota Twins,New York Mets,1,5
2025-04-14,Milwaukee Brewers,Detroit Tigers,1,9
2025-04-14,St. Louis Cardinals,Houston Astros,8,3
2025-04-14,San Diego Padres,Chicago Cubs,10,4
2025-04-14,Los Angeles Dodgers,Colorado Rockies,5,3
2025-04-15,Pittsburgh Pirates,Washington Nationals,0,3
2025-04-15,Cincinnati Reds,Seattle Mariners,8,4
2025-04-15,Miami Marlins,Arizona Diamondbacks,4,10
2025-04-15,Philadelphia Phillies,San Francisco Giants,6,4
2025-04-15,Baltimore Orioles,Cleveland Guardians,3,6
2025-04-15,Tampa Bay Rays,Boston Red Sox,4,7
2025-04-15,New York Yankees,Kansas City Royals,4,2
2025-04-15,Toronto Blue Jays,Atlanta Braves,6,3
2025-04-15,Minnesota Twins,New York Mets,6,3
2025-04-15,Chicago White Sox,Athletics,3,12
2025-04-15,Milwaukee Brewers,Detroit Tigers,5,0
2025-04-15,St. Louis Cardinals,Houston Astros,0,2
2025-04-15,Texas Rangers,Los Angeles Angels,4,0
2025-04-15,San Diego Padres,Chicago Cubs,1,2
2025-04-15,Los Angeles Dodgers,Colorado Rockies,6,2
2025-04-16,Toronto Blue Jays,Atlanta Braves,3,1
2025-04-16,Minnesota Twins,New York Mets,4,3
2025-04-16,Milwaukee Brewers,Detroit Tigers,5,1
2025-04-16,St. Louis Cardinals,Houston Astros,4,1
2025-04-16,San Diego Padres,Chicago Cubs,4,2
2025-04-16,Baltimore Orioles,Cleveland Guardians,9,1
2025-04-16,Pittsburgh Pirates,Washington Nationals,6,1
2025-04-16,Cincinnati Reds,Seattle Mariners,3,5
2025-04-16,Miami Marlins,Arizona Diamondbacks,2,6
2025-04-16,Philadelphia Phillies,San Francisco Giants,4,11
2025-04-16,Tampa Bay Rays,Boston Red Sox,0,1
