date,home,away,home_goals,away_goals
2021-04-01,New York Yankees,Toronto Blue Jays,2,3
2021-04-01,Detroit Tigers,Cleveland Indians,3,2
2021-04-01,Milwaukee Brewers,Minnesota Twins,6,5
2021-04-01,Chicago Cubs,Pittsburgh Pirates,3,5
2021-04-01,Philadelphia Phillies,Atlanta Braves,3,2
2021-04-01,Colorado Rockies,Los Angeles Dodgers,8,5
2021-04-01,San Diego Padres,Arizona Diamondbacks,8,7
2021-04-01,Cincinnati Reds,St. Louis Cardinals,6,11
2021-04-01,Kansas City Royals,Texas Rangers,14,10
2021-04-01,Miami Marlins,Tampa Bay Rays,0,1
2021-04-01,Los Angeles Angels,Chicago White Sox,4,3
2021-04-01,Oakland Athletics,Houston Astros,1,8
2021-04-01,Seattle Mariners,San Francisco Giants,8,7
2021-04-02,Boston Red Sox,Baltimore Orioles,0,3
2021-04-02,Miami Marlins,Tampa Bay Rays,4,6
2021-04-02,Colorado Rockies,Los Angeles Dodgers,6,11
2021-04-02,Los Angeles Angels,Chicago White Sox,8,12
2021-04-02,Oakland Athletics,Houston Astros,5,9
2021-04-02,San Diego Padres,Arizona Diamondbacks,4,2
2021-04-02,Seattle Mariners,San Francisco Giants,3,6
2021-04-03,New York Yankees,Toronto Blue Jays,5,3
2021-04-03,Boston Red Sox,Baltimore Orioles,2,4
2021-04-03,Detroit Tigers,Cleveland Indians,5,2
2021-04-03,Kansas City Royals,Texas Rangers,11,4
2021-04-03,Chicago Cubs,Pittsburgh Pirates,5,1
2021-04-03,Philadelphia Phillies,Atlanta Braves,4,0
2021-04-03,Oakland Athletics,Houston Astros,1,9
2021-04-03,Cincinnati Reds,St. Louis Cardinals,9,6
2021-04-03,Miami Marlins,Tampa Bay Rays,12,7
2021-04-03,Milwaukee Brewers,Minnesota Twins,0,2
2021-04-03,Colorado Rockies,Los Angeles Dodgers,5,6
2021-04-03,San Diego Padres,Arizona Diamondbacks,7,0
2021-04-03,Los Angeles Angels,Chicago White Sox,5,3
2021-04-03,Seattle Mariners,San Francisco Giants,4,0
2021-04-04,Philadelphia Phillies,Atlanta Braves,2,1
2021-04-04,New York Yankees,Toronto Blue Jays,1,3
2021-04-04,Boston Red Sox,Baltimore Orioles,3,11
2021-04-04,Detroit Tigers,Cleveland Indians,3,9
2021-04-04,Cincinnati Reds,St. Louis Cardinals,12,1
2021-04-04,Kansas City Royals,Texas Rangers,3,7
2021-04-04,Milwaukee Brewers,Minnesota Twins,2,8
2021-04-04,Chicago Cubs,Pittsburgh Pirates,4,3
2021-04-04,Colorado Rockies,Los Angeles Dodgers,2,4
2021-04-04,Oakland Athletics,Houston Astros,2,9
2021-04-04,San Diego Padres,Arizona Diamondbacks,1,3
2021-04-04,Los Angeles Angels,Chicago White Sox,7,4
2021-04-05,Detroit Tigers,Minnesota Twins,6,15
2021-04-05,Texas Rangers,Toronto Blue Jays,2,6
2021-04-05,Cleveland Indians,Kansas City Royals,0,3
2021-04-05,New York Yankees,Baltimore Orioles,7,0
2021-04-05,Cincinnati Reds,Pittsburgh Pirates,5,3
2021-04-05,Miami Marlins,St. Louis Cardinals,1,4
2021-04-05,Philadelphia Phillies,New York Mets,5,3
2021-04-05,Boston Red Sox,Tampa Bay Rays,11,2
2021-04-05,Chicago Cubs,Milwaukee Brewers,5,3
2021-04-05,Los Angeles Angels,Houston Astros,7,6
2021-04-05,Oakland Athletics,Los Angeles Dodgers,3,10
2021-04-05,San Diego Padres,San Francisco Giants,2,3
2021-04-05,Seattle Mariners,Chicago White Sox,0,6
2021-04-06,Detroit Tigers,Minnesota Twins,4,3
2021-04-06,Washington Nationals,Atlanta Braves,6,5
2021-04-06,Los Angeles Angels,Houston Astros,2,4
2021-04-06,New York Yankees,Baltimore Orioles,7,2
2021-04-06,Cincinnati Reds,Pittsburgh Pirates,14,1
2021-04-06,Miami Marlins,St. Louis Cardinals,2,4
2021-04-06,Philadelphia Phillies,New York Mets,4,8
2021-04-06,Boston Red Sox,Tampa Bay Rays,6,5
2021-04-06,Chicago Cubs,Milwaukee Brewers,0,4
2021-04-06,Texas Rangers,Toronto Blue Jays,7,4
2021-04-06,Colorado Rockies,Arizona Diamondbacks,8,10
2021-04-06,Oakland Athletics,Los Angeles Dodgers,1,5
2021-04-06,San Diego Padres,San Francisco Giants,3,1
2021-04-06,Seattle Mariners,Chicago White Sox,4,10
2021-04-07,Washington Nationals,Atlanta Braves,6,7
2021-04-07,Washington Nationals,Atlanta Braves,0,2
2021-04-07,Cincinnati Reds,Pittsburgh Pirates,11,4
2021-04-07,Cleveland Indians,Kansas City Royals,4,2
2021-04-07,Boston Red Sox,Tampa Bay Rays,9,2
2021-04-07,Detroit Tigers,Minnesota Twins,2,3
2021-04-07,Texas Rangers,Toronto Blue Jays,2,1
2021-04-07,Chicago Cubs,Milwaukee Brewers,2,4
2021-04-07,Oakland Athletics,Los Angeles Dodgers,4,3
2021-04-07,Philadelphia Phillies,New York Mets,8,2
2021-04-07,San Diego Padres,San Francisco Giants,2,3
2021-04-07,Seattle Mariners,Chicago White Sox,8,4
2021-04-07,Miami Marlins,St. Louis Cardinals,0,7
2021-04-07,New York Yankees,Baltimore Orioles,3,4
2021-04-07,Colorado Rockies,Arizona Diamondbacks,8,0
2021-04-08,New York Mets,Miami Marlins,3,2
2021-04-08,Pittsburgh Pirates,Chicago Cubs,2,4
2021-04-08,Baltimore Orioles,Boston Red Sox,3,7
2021-04-08,Colorado Rockies,Arizona Diamondbacks,7,3
2021-04-08,Minnesota Twins,Seattle Mariners,10,2
2021-04-08,Chicago White Sox,Kansas City Royals,6,0
2021-04-08,St. Louis Cardinals,Milwaukee Brewers,3,1
2021-04-08,Toronto Blue Jays,Los Angeles Angels,5,7
2021-04-08,Houston Astros,Oakland Athletics,6,2
2021-04-09,Tampa Bay Rays,New York Yankees,10,5
2021-04-09,Los Angeles Dodgers,Washington Nationals,1,0
2021-04-09,San Francisco Giants,Colorado Rockies,3,1
2021-04-09,Toronto Blue Jays,Los Angeles Angels,1,7
2021-04-09,Cleveland Indians,Detroit Tigers,4,1
2021-04-09,Atlanta Braves,Philadelphia Phillies,8,1
2021-04-09,Texas Rangers,San Diego Padres,0,3
2021-04-09,Houston Astros,Oakland Athletics,2,6
2021-04-09,Arizona Diamondbacks,Cincinnati Reds,5,6
2021-04-10,New York Mets,Miami Marlins,0,3
2021-04-10,Tampa Bay Rays,New York Yankees,4,0
2021-04-10,Minnesota Twins,Seattle Mariners,3,4
2021-04-10,St. Louis Cardinals,Milwaukee Brewers,5,9
2021-04-10,Houston Astros,Oakland Athletics,3,7
2021-04-10,San Francisco Giants,Colorado Rockies,4,3
2021-04-10,Cleveland Indians,Detroit Tigers,11,3
2021-04-10,Pittsburgh Pirates,Chicago Cubs,8,2
2021-04-10,Baltimore Orioles,Boston Red Sox,4,6
2021-04-10,Texas Rangers,San Diego Padres,4,7
2021-04-10,Toronto Blue Jays,Los Angeles Angels,15,1
2021-04-10,Atlanta Braves,Philadelphia Phillies,5,4
2021-04-10,Arizona Diamondbacks,Cincinnati Reds,8,3
2021-04-10,Los Angeles Dodgers,Washington Nationals,9,5
2021-04-11,Baltimore Orioles,Boston Red Sox,9,14
2021-04-11,Pittsburgh Pirates,Chicago Cubs,7,1
2021-04-11,Cleveland Indians,Detroit Tigers,5,2
2021-04-11,New York Mets,Miami Marlins,6,5
2021-04-11,Tampa Bay Rays,New York Yankees,4,8
2021-04-11,Minnesota Twins,Seattle Mariners,6,8
2021-04-11,Chicago White Sox,Kansas City Royals,3,4
2021-04-11,St. Louis Cardinals,Milwaukee Brewers,3,9
2021-04-11,Texas Rangers,San Diego Padres,0,2
2021-04-11,San Francisco Giants,Colorado Rockies,4,0
2021-04-11,Arizona Diamondbacks,Cincinnati Reds,7,0
2021-04-11,Los Angeles Dodgers,Washington Nationals,3,0
2021-04-11,Atlanta Braves,Philadelphia Phillies,6,7
2021-04-12,Pittsburgh Pirates,San Diego Padres,2,6
2021-04-12,Toronto Blue Jays,New York Yankees,1,3
2021-04-12,Tampa Bay Rays,Texas Rangers,1,0
2021-04-12,Atlanta Braves,Miami Marlins,3,5
2021-04-12,Milwaukee Brewers,Chicago Cubs,6,3
2021-04-12,St. Louis Cardinals,Washington Nationals,2,5
2021-04-12,Houston Astros,Detroit Tigers,2,6
2021-04-12,Kansas City Royals,Los Angeles Angels,3,10
2021-04-12,Chicago White Sox,Cleveland Indians,4,3
2021-04-12,Arizona Diamondbacks,Oakland Athletics,5,9
2021-04-12,San Francisco Giants,Cincinnati Reds,0,3
2021-04-13,Minnesota Twins,Boston Red Sox,2,4
2021-04-13,Arizona Diamondbacks,Oakland Athletics,5,7
2021-04-13,Baltimore Orioles,Seattle Mariners,3,4
2021-04-13,Baltimore Orioles,Seattle Mariners,7,6
2021-04-13,New York Mets,Philadelphia Phillies,4,3
2021-04-13,New York Mets,Philadelphia Phillies,4,0
2021-04-13,Pittsburgh Pirates,San Diego Padres,8,4
2021-04-13,Toronto Blue Jays,New York Yankees,7,3
2021-04-13,Tampa Bay Rays,Texas Rangers,3,8
2021-04-13,Atlanta Braves,Miami Marlins,8,14
2021-04-13,Milwaukee Brewers,Chicago Cubs,2,3
2021-04-13,St. Louis Cardinals,Washington Nationals,14,3
2021-04-13,Houston Astros,Detroit Tigers,2,8
2021-04-13,Kansas City Royals,Los Angeles Angels,3,2
2021-04-13,Chicago White Sox,Cleveland Indians,0,2
2021-04-13,San Francisco Giants,Cincinnati Reds,7,6
2021-04-13,Los Angeles Dodgers,Colorado Rockies,7,0
2021-04-14,Toronto Blue Jays,New York Yankees,5,4
2021-04-14,St. Louis Cardinals,Washington Nationals,0,6
2021-04-14,Milwaukee Brewers,Chicago Cubs,7,0
2021-04-14,Kansas City Royals,Los Angeles Angels,6,1
2021-04-14,Minnesota Twins,Boston Red Sox,2,3
2021-04-14,Minnesota Twins,Boston Red Sox,1,7
2021-04-14,San Francisco Giants,Cincinnati Reds,3,0
2021-04-14,Pittsburgh Pirates,San Diego Padres,5,1
2021-04-14,Houston Astros,Detroit Tigers,4,6
2021-04-14,Tampa Bay Rays,Texas Rangers,1,5
2021-04-14,New York Mets,Philadelphia Phillies,5,1
2021-04-14,Atlanta Braves,Miami Marlins,5,6
2021-04-14,Chicago White Sox,Cleveland Indians,8,0
2021-04-14,Los Angeles Dodgers,Colorado Rockies,4,2
2021-04-15,Atlanta Braves,Miami Marlins,7,6
2021-04-15,Pittsburgh Pirates,San Diego Padres,3,8
2021-04-15,Baltimore Orioles,Seattle Mariners,2,4
2021-04-15,Baltimore Orioles,Seattle Mariners,1,2
2021-04-15,Minnesota Twins,Boston Red Sox,4,3
2021-04-15,Chicago White Sox,Cleveland Indians,2,4
2021-04-15,Washington Nationals,Arizona Diamondbacks,6,11
2021-04-15,Tampa Bay Rays,Texas Rangers,4,6
2021-04-15,Kansas City Royals,Toronto Blue Jays,7,5
2021-04-15,Oakland Athletics,Detroit Tigers,8,4
2021-04-15,Los Angeles Dodgers,Colorado Rockies,7,5
2021-04-16,Chicago Cubs,Atlanta Braves,2,5
2021-04-16,Washington Nationals,Arizona Diamondbacks,1,0
2021-04-16,Philadelphia Phillies,St. Louis Cardinals,9,2
2021-04-16,New York Yankees,Tampa Bay Rays,2,8
2021-04-16,Cincinnati Reds,Cleveland Indians,10,3
2021-04-16,Miami Marlins,San Francisco Giants,4,1
2021-04-16,Texas Rangers,Baltimore Orioles,2,5
2021-04-16,Milwaukee Brewers,Pittsburgh Pirates,1,6
2021-04-16,Los Angeles Angels,Minnesota Twins,10,3
2021-04-16,Oakland Athletics,Detroit Tigers,3,0
2021-04-16,San Diego Padres,Los Angeles Dodgers,6,11
2021-04-16,Seattle Mariners,Houston Astros,6,5
2021-04-17,Washington Nationals,Arizona Diamondbacks,6,2
2021-04-17,New York Yankees,Tampa Bay Rays,3,6
2021-04-17,Kansas City Royals,Toronto Blue Jays,1,5
2021-04-17,Kansas City Royals,Toronto Blue Jays,3,2
2021-04-17,Chicago Cubs,Atlanta Braves,13,4
2021-04-17,Philadelphia Phillies,St. Louis Cardinals,4,9
2021-04-17,Boston Red Sox,Chicago White Sox,7,4
2021-04-17,Oakland Athletics,Detroit Tigers,7,0
2021-04-17,Cincinnati Reds,Cleveland Indians,3,2
2021-04-17,Colorado Rockies,New York Mets,3,4
2021-04-17,Colorado Rockies,New York Mets,7,2
2021-04-17,Miami Marlins,San Francisco Giants,7,6
2021-04-17,Texas Rangers,Baltimore Orioles,1,6
2021-04-17,Milwaukee Brewers,Pittsburgh Pirates,7,1
2021-04-17,San Diego Padres,Los Angeles Dodgers,0,2
2021-04-17,Seattle Mariners,Houston Astros,0,1
2021-04-18,Washington Nationals,Arizona Diamondbacks,2,5
2021-04-18,Philadelphia Phillies,St. Louis Cardinals,2,0
2021-04-18,New York Yankees,Tampa Bay Rays,2,4
2021-04-18,Cincinnati Reds,Cleveland Indians,3,6
2021-04-18,Boston Red Sox,Chicago White Sox,2,3
2021-04-18,Boston Red Sox,Chicago White Sox,1,5
2021-04-18,Miami Marlins,San Francisco Giants,0,1
2021-04-18,Kansas City Royals,Toronto Blue Jays,2,0
2021-04-18,Milwaukee Brewers,Pittsburgh Pirates,5,6
2021-04-18,Texas Rangers,Baltimore Orioles,1,0
2021-04-18,Colorado Rockies,New York Mets,1,2
